file	line	symbol	construct	text
src/data_plane/api/data_plane/access/ob_table_param.h	215	ObColumnParam::orig_default_value_	member ObObj (value) of type common::ObObj	common::ObObj orig_default_value_;
src/data_plane/api/data_plane/access/ob_table_param.h	216	ObColumnParam::cur_default_value_	member ObObj (value) of type common::ObObj	common::ObObj cur_default_value_;
src/data_plane/api/data_plane/access/ob_table_param.h	346	ObTableParam::parser_name_	member ObString (value) of type ObString	ObString parser_name_;
src/data_plane/api/data_plane/access/ob_table_param.h	347	ObTableParam::parser_properties_	member ObString (value) of type ObString	ObString parser_properties_;
src/data_plane/api/data_plane/access/ob_table_scan_param.h	82	ScanResumePoint::ranges_	member container of ObNewRange of type common::ObSEArray<common::ObNewRange, 1>	common::ObSEArray<common::ObNewRange, 1> ranges_;
src/data_plane/api/data_plane/access/ob_tablet_scan.h	412	ObVTableScanParam::key_ranges_	member ObRangeArray (value) of type ObRangeArray	ObRangeArray key_ranges_;
src/data_plane/api/data_plane/blocksstable/ob_datum_row.h	362	ObDatumRow::storage_datums_	member ObStorageDatum (pointer) of type ObStorageDatum *	ObStorageDatum *storage_datums_;
src/data_plane/api/data_plane/blocksstable/ob_datum_row.h	364	ObDatumRow::trans_info_	member raw bytes (pointer) of type char *	char *trans_info_;
src/data_plane/api/data_plane/blocksstable/ob_datum_row_iterator.h	79	ObSingleDatumRowIteratorWrapper::row_	member ObDatumRow (pointer) of type ObDatumRow *	ObDatumRow *row_;
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	90	ObStorageDatumBuffer::local_datums_	member ObStorageDatum (value) of type ObStorageDatum	ObStorageDatum local_datums_[LOCAL_BUFFER_ARRAY];
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	91	ObStorageDatumBuffer::datums_	member ObStorageDatum (pointer) of type ObStorageDatum *	ObStorageDatum *datums_;
src/data_plane/api/data_plane/ddl/ob_direct_insert.h	144	ObDirectInsertRowView::datums_	member ObDatum (pointer) of type common::ObDatum *const *	common::ObDatum *const *datums_;
src/data_plane/api/data_plane/fts/dict/ob_dic_loader.h	41	ObDicLoader::ObDicTableInfo::raw_data_	member raw bytes (pointer) of type const char **	const char **raw_data_;
src/data_plane/api/data_plane/fts/dict/ob_dic_loader.h	43	ObDicLoader::ObDicTableInfo::table_name_	member raw bytes (pointer) of type const char *	const char *table_name_;
src/data_plane/api/data_plane/fts/dict/ob_dic_loader.h	54	ObDicLoader::ObDicItem::word_	member raw bytes (pointer) of type const char *	const char *word_;
src/data_plane/api/data_plane/fts/ob_fts_parser.h	50	ObFTIKParam::main_dict_	member ObString (value) of type common::ObString	common::ObString main_dict_;
src/data_plane/api/data_plane/fts/ob_fts_parser.h	51	ObFTIKParam::quan_dict_	member ObString (value) of type common::ObString	common::ObString quan_dict_;
src/data_plane/api/data_plane/fts/ob_fts_parser.h	52	ObFTIKParam::stopword_dict_	member ObString (value) of type common::ObString	common::ObString stopword_dict_;
src/data_plane/api/data_plane/fts/ob_fts_parser.h	107	ObFTParserParam::fulltext_	member raw bytes (pointer) of type const char *	const char *fulltext_;
src/data_plane/api/data_plane/fts/ob_fts_parser_property.h	166	ObFTParserProperty::stopword_table_	member ObString (value) of type common::ObString	common::ObString stopword_table_;
src/data_plane/api/data_plane/fts/ob_fts_parser_property.h	167	ObFTParserProperty::dict_table_	member ObString (value) of type common::ObString	common::ObString dict_table_;
src/data_plane/api/data_plane/fts/ob_fts_parser_property.h	168	ObFTParserProperty::quantifier_table_	member ObString (value) of type common::ObString	common::ObString quantifier_table_;
src/data_plane/api/data_plane/fts/ob_fts_struct.h	50	ObFTWord::word_	member ObDatum (value) of type ObDatum	ObDatum word_;
src/data_plane/api/data_plane/ob_inner_sql_transmit_arg.h	178	ObInnerSQLTransmitArg::inner_sql_	member ObString (value) of type common::ObString	common::ObString inner_sql_;
src/data_plane/api/data_plane/ob_inner_sql_transmit_arg.h	188	ObInnerSQLTransmitArg::nls_formats_	member ObString (value) of type common::ObString	common::ObString nls_formats_[3];
src/data_plane/api/data_plane/retrieval/ob_retrieval_program.h	57	ObRetrievalDocIdView::datum_	member ObDatum (pointer) of type const common::ObDatum *	const common::ObDatum *datum_;
src/data_plane/api/data_plane/retrieval/ob_retrieval_program.h	142	ObRetrievalDocId::datum_	member ObDatum (value) of type common::ObDatum	common::ObDatum datum_;
src/data_plane/api/data_plane/retrieval/ob_retrieval_program.h	161	ObRetrievalIntentView::data_	member raw bytes (pointer) of type const uint8_t *	const uint8_t *data_;
src/data_plane/api/data_plane/retrieval/ob_retrieval_program.h	175	ObRetrievalTermView::token_	member ObDatum (pointer) of type const common::ObDatum *	const common::ObDatum *token_;
src/data_plane/api/data_plane/retrieval/ob_sparse_retrieval.h	37	ObSparseRetrievalIdView::datum_	member ObDatum (pointer) of type const common::ObDatum *	const common::ObDatum *datum_;
src/data_plane/api/data_plane/retrieval/ob_sparse_retrieval.h	94	ObSparseRetrievalId::datum_	member ObDatum (value) of type common::ObDatum	common::ObDatum datum_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	85	ObDiagnoseLocation::filename_	member raw bytes (pointer) of type const char *	const char *filename_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	86	ObDiagnoseLocation::function_	member raw bytes (pointer) of type const char *	const char *function_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler_config.h	109	ObDagPrioStruct::dag_prio_str_	member raw bytes (pointer) of type const char *	const char *dag_prio_str_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler_config.h	132	ObDagNetTypeStruct::dag_net_type_str_	member raw bytes (pointer) of type const char *	const char *dag_net_type_str_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler_config.h	157	ObDagTypeStruct::dag_type_str_	member raw bytes (pointer) of type const char *	const char *dag_type_str_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler_config.h	158	ObDagTypeStruct::dag_module_str_	member raw bytes (pointer) of type const char *	const char *dag_module_str_;
src/data_plane/api/data_plane/scheduler/ob_diagnose_config.h	68	ObDiagnoseInfoStruct::info_str	member raw bytes (pointer) of type const char *	const char *info_str;
src/data_plane/api/data_plane/scheduler/ob_diagnose_config.h	69	ObDiagnoseInfoStruct::info_str_fmt	member raw bytes (pointer) of type const char *	const char *info_str_fmt[DIAGNOSE_INFO_STR_FMT_MAX_NUM];
src/data_plane/api/data_plane/scheduler/ob_sys_task_stat.h	43	ObSysTaskStat::comment_	member ObString (value) of type common::ObString	common::ObString comment_;
src/data_plane/api/data_plane/tmp_file/ob_tmp_file.h	44	ObTmpFileIOInfo::buf_	member raw bytes (pointer) of type char *	char *buf_;
src/data_plane/api/data_plane/transaction/ob_xa_id.h	134	ObXATransID::gtrid_str_	member ObString (value) of type common::ObString	common::ObString gtrid_str_;
