file	line	symbol	construct	text
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	156	ObITask	direct subclass of ObDLinkBase (class common::ObDLinkBase<ObITask>)	class ObITask : public common::ObDLinkBase<ObITask>, public ObINodeWithChild
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	301	ObFakeTask	direct subclass of ObITask (class ObITask) [base named in the evidence, not in the plan list]	class ObFakeTask: public ObITask
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	338	ObIDag	direct subclass of ObDLinkBase (class common::ObDLinkBase<ObIDag>)	class ObIDag : public common::ObDLinkBase<ObIDag>, public ObINodeWithChild
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	620	ObDagRecord	direct subclass of ObDLinkBase (struct common::ObDLinkBase<ObDagRecord>)	struct ObDagRecord  : public common::ObDLinkBase<ObDagRecord>
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	635	ObIDagNet	direct subclass of ObDLinkBase (class common::ObDLinkBase<ObIDagNet>)	class ObIDagNet : public common::ObDLinkBase<ObIDagNet>
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	776	ObDagWorker	direct subclass of ObDLinkBase (class common::ObDLinkBase<ObDagWorker>)	class ObDagWorker : public lib::ThreadPool, public common::ObDLinkBase<ObDagWorker>
src/data_plane/api/data_plane/scheduler/ob_sys_task_stat.h	86	ObSysTaskStatMgr::ObSysTaskStatNode	direct subclass of ObDLinkBase (struct common::ObDLinkBase<ObSysTaskStatNode>)	struct ObSysTaskStatNode : public common::ObDLinkBase<ObSysTaskStatNode>
src/logservice/palf/block_gc_timer_task.h	25	BlockGCTimerTask	direct subclass of ObTimerTask (class common::ObTimerTask)	class BlockGCTimerTask : public common::ObTimerTask
src/logservice/palf/palf_callback_wrapper.h	31	PalfFSCbNode	direct subclass of ObDLinkBase (struct common::ObDLinkBase<PalfFSCbNode>)	struct PalfFSCbNode : public common::ObDLinkBase<PalfFSCbNode>
src/logservice/replayservice/ob_log_replay_service.h	40	ReplayProcessStat	direct subclass of ObTimerTask (class common::ObTimerTask)	class ReplayProcessStat : public common::ObTimerTask
src/logservice/replayservice/ob_replay_status.h	115	ObLogReplayTask	direct subclass of ObLink (struct common::ObLink) [base named in the evidence, not in the plan list]	struct ObLogReplayTask : common::ObLink
src/oblib/lib/alloc/ob_context_allocator.h	40	ObContextAllocatorV2	direct subclass of ObLink (class common::ObLink) [base named in the evidence, not in the plan list] [not built]	class ObContextAllocatorV2 : private common::ObLink
src/oblib/lib/alloc/ob_context_allocator.h	197	ObContextAllocator	direct subclass of ObLink (class common::ObLink) [base named in the evidence, not in the plan list] [not built]	class ObContextAllocator
src/oblib/lib/allocator/ob_delay_free_allocator.h	35	ObDelayFreeMemBlock	direct subclass of ObDLinkBase (class common::ObDLinkBase<ObDelayFreeMemBlock>)	class ObDelayFreeMemBlock: public common::ObDLinkBase<ObDelayFreeMemBlock>
src/oblib/lib/hash/ob_dchash.h	31	HashNode	direct subclass of ObLink (struct ObLink) [base named in the evidence, not in the plan list]	struct HashNode: public ObLink
src/oblib/lib/hash/ob_fixed_hash2.h	28	SpHashNode	direct subclass of ObLink (struct ObLink) [base named in the evidence, not in the plan list]	struct SpHashNode: public ObLink
src/oblib/lib/json/ob_json.h	68	Pair	direct subclass of ObDLinkBase (struct ::oceanbase::common::ObDLinkBase<Pair>)	struct Pair: public ::oceanbase::common::ObDLinkBase<Pair>
src/oblib/lib/json/ob_json.h	83	Value	direct subclass of ObDLinkBase (struct common::ObDLinkBase<Value>)	struct Value: public common::ObDLinkBase<Value>
src/oblib/lib/list/ob_dlink_node.h	143	ObDLinkNode	direct subclass of ObDLinkBase (struct ObDLinkBase<ObDLinkNode<T>>)	struct ObDLinkNode: public ObDLinkBase<ObDLinkNode<T> >
src/oblib/lib/list/ob_dlink_node.h	158	ObDLinkDerived	direct subclass of ObDLinkBase (struct ObDLinkBase<T>)	struct ObDLinkDerived: public ObDLinkBase<T>, T
src/oblib/lib/list/ob_obj_store.h	29	ObObjNode	direct subclass of ObDLinkBase (class ObDLinkBase<ObObjNode<T>>)	class ObObjNode : public ObDLinkBase<ObObjNode<T> >
src/oblib/lib/lock/ob_latch.h	75	ObWaitProc	direct subclass of ObDLinkBase (struct ObDLinkBase<ObWaitProc>)	struct ObWaitProc : public ObDLinkBase<ObWaitProc>
src/oblib/lib/objectpool/ob_global_factory.h	28	ObTCBlock	direct subclass of ObDLinkBase (class common::ObDLinkBase<common::ObTCBlock>)	class ObTCBlock: public common::ObDLinkBase<common::ObTCBlock>
src/oblib/lib/oblog/ob_log_compressor.h	154	ObLogCompressorTimerTask	direct subclass of ObTimerTask (class ObTimerTask)	class ObLogCompressorTimerTask : public ObTimerTask
src/oblib/lib/queue/ob_link.h	238	ObDLink	direct subclass of ObLink (struct ObLink) [base named in the evidence, not in the plan list]	struct ObDLink: public ObLink
src/oblib/lib/task/ob_timer_monitor.h	59	ObTimerMonitor::ObTimerMonitorTask	direct subclass of ObTimerTask (class ObTimerTask)	class ObTimerMonitorTask : public ObTimerTask
src/oblib/lib/thread/ob_link_task.h	27	LinkTask	direct subclass of ObLink (struct ObLink) [base named in the evidence, not in the plan list]	struct LinkTask : public ObLink {};
src/oblib/lib/time/ob_cur_time.h	28	TimeUpdateDuty	direct subclass of ObTimerTask (class common::ObTimerTask)	class TimeUpdateDuty : public common::ObTimerTask
src/oblib/lib/trace/ob_trace.h	225	ObSpanCtx	direct subclass of ObDLinkBase (struct common::ObDLinkBase<ObSpanCtx>)	struct ObSpanCtx final : public common::ObDLinkBase<ObSpanCtx>
src/oblib/lib/utility/ob_tracepoint.h	313	NamedEventItem	direct subclass of ObDLinkBase (struct ObDLinkBase<NamedEventItem>)	struct NamedEventItem : public ObDLinkBase<NamedEventItem>
