file	line	symbol	construct	text
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	282	ObStorageDatum::storage_to_string	BUF_PRINTF call; format "MAX_OBJ"; conversions none; 0 arguments	BUF_PRINTF("MAX_OBJ");
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	284	ObStorageDatum::storage_to_string	BUF_PRINTF call; format "MIN_OBJ"; conversions none; 0 arguments	BUF_PRINTF("MIN_OBJ");
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	295	ObStorageDatum::storage_to_string	BUF_PRINTF call; format "len: %d, flag: %d, null: %d"; conversions %d %d %d; 3 arguments: len_, flag_, null_; argument types: uint32_t | uint32_t | uint32_t; conversion and argument pairs: %d <- uint32_t, %d <- uint32_t, %d <- uint32_t	BUF_PRINTF("len: %d, flag: %d, null: %d", len_, flag_, null_);
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	302	ObStorageDatum::storage_to_string	BUF_PRINTF call; format ", hex: "; conversions none; 0 arguments	BUF_PRINTF(", hex: ");
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	308	ObStorageDatum::storage_to_string	BUF_PRINTF call; format ", int: %ld"; conversions %ld; 1 arguments: *int_; argument types: const int64_t; conversion and argument pairs: %ld <- const int64_t	BUF_PRINTF(", int: %ld", *int_);
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	311	ObStorageDatum::storage_to_string	BUF_PRINTF call; format ", num_digit0: %u"; conversions %u; 1 arguments: num_->digits_[0]; argument types: uint32_t; conversion and argument pairs: %u <- uint32_t	BUF_PRINTF(", num_digit0: %u", num_->digits_[0]);
src/data_plane/api/data_plane/blocksstable/ob_storage_datum.h	320	ObStorageDatum::storage_to_string	BUF_PRINTF call; format ", cstr: %.*s"; conversions %.*s; 2 arguments: static_cast<int>(plen), ptr_; argument types: int | const char *; conversion and argument pairs: %.*s width or precision <- int, %.*s <- const char *	BUF_PRINTF(", cstr: %.*s", static_cast<int>(plen), ptr_);
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	81	ObDiagnoseLocation::to_string	databuff_printf call; format "%s:%d(%s)"; conversions %s %d %s; 3 arguments: filename_, line_, function_; argument types: const char * | int | const char *; conversion and argument pairs: %s <- const char *, %d <- int, %s <- const char *; inside to_string	common::databuff_printf(buf, buf_len, pos, "%s:%d(%s)", filename_, line_, function_);
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	278	ObITask::task_debug_info_to_string	BUF_PRINTF call; format "Impl for task info"; conversions none; 0 arguments	virtual void task_debug_info_to_string(char *buf, const int64_t buf_len, int64_t &pos) const { BUF_PRINTF("Impl for task info"); }
src/data_plane/api/data_plane/transaction/ob_tx_seq.h	157	ObTxSEQ::to_string	BUF_PRINTF call; format "MAX"; conversions none; 0 arguments; inside to_string	BUF_PRINTF("MAX");
src/data_plane/api/data_plane/transaction/ob_tx_seq.h	163	ObTxSEQ::to_string	BUF_PRINTF call; format "%lu"; conversions %lu; 1 arguments: raw_val_; argument types: int64_t; conversion and argument pairs: %lu <- int64_t; inside to_string	BUF_PRINTF("%lu", raw_val_);
src/logservice/common_util/ob_log_time_utils.cpp	30	print_human_tstamp	databuff_printf call; format "[INVALID]"; conversions none; 0 arguments	ret = common::databuff_printf(buf, buf_len, pos, "[INVALID]");
src/logservice/common_util/ob_log_time_utils.cpp	51	print_human_tstamp	databuff_printf call; format "[%04d-%02d-%02d %02d:%02d:%02d.%06ld]"; conversions %04d %02d %02d %02d %02d %02d %06ld; 7 arguments: tm.tm_year + 1900, tm.tm_mon + 1, tm.tm_mday, tm.tm_hour, tm.tm_min, tm.tm_sec, tv.tv_usec; argument types: ? | ? | ? | ? | ? | ? | ?; conversion and argument pairs: %04d <- ?, %02d <- ?, %02d <- ?, %02d <- ?, %02d <- ?, %02d <- ?, %06ld <- ?	ret = common::databuff_printf(buf, buf_len, pos,
src/logservice/common_util/ob_log_time_utils.cpp	71	print_human_timeval	databuff_printf call; format "[INVALID_TVAL]"; conversions none; 0 arguments	ret = common::databuff_printf(buf, buf_len, pos, "[INVALID_TVAL]");
