file	line	symbol	construct	text
src/data_plane/api/data_plane/access/ob_table_scan_param.h	81	ScanResumePoint::is_paused_	field bool *; 4 atomic accesses (ATOMIC_STORE 3, ATOMIC_LOAD 1)	bool *is_paused_{nullptr};
src/data_plane/api/data_plane/fts/dict/ob_dic_loader.h	101	ObDicLoader::ref_cnt_	field int64_t; 2 atomic accesses (ATOMIC_AAF 1, ATOMIC_SAF 1)	int64_t ref_cnt_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	150	ObINodeWithChild::indegree_	field int64_t; 2 atomic accesses (ATOMIC_INC 1, ATOMIC_SAF 1)	int64_t indegree_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	572	ObIDag::dag_ret_	field int; 1 atomic accesses (ATOMIC_VCAS 1)	int dag_ret_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	1309	ObDagScheduler::fast_schedule_dag_net_	field bool; 3 atomic accesses (ATOMIC_SET 2, ATOMIC_LOAD 1)	bool fast_schedule_dag_net_;
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	1310	ObDagScheduler::dag_cnt_	field int64_t; 4 atomic accesses (ATOMIC_DEC 1, ATOMIC_INC 1, ATOMIC_LOAD 1, ATOMIC_SET 1); through macros DEFINE_ATOMIC_VAR_FUNC	int64_t dag_cnt_;              // atomic value
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	1317	ObDagScheduler::total_running_task_cnt_	field int64_t; 4 atomic accesses (ATOMIC_DEC 1, ATOMIC_INC 1, ATOMIC_LOAD 1, ATOMIC_SET 1); through macros DEFINE_ATOMIC_VAR_FUNC	int64_t total_running_task_cnt_;  // atomic value
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	1318	ObDagScheduler::scheduled_task_cnt_	field int64_t; 4 atomic accesses (ATOMIC_DEC 1, ATOMIC_INC 1, ATOMIC_LOAD 1, ATOMIC_SET 1); through macros DEFINE_ATOMIC_VAR_FUNC	int64_t scheduled_task_cnt_; // atomic value // interval scheduled task count
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	1319	ObDagScheduler::dag_cnts_	field int64_t; 5 atomic accesses (ATOMIC_AAF 1, ATOMIC_DEC 1, ATOMIC_INC 1, ATOMIC_LOAD 1, ATOMIC_SET 1); through macros DEFINE_ATOMIC_ARRAY_FUNC	int64_t dag_cnts_[ObDagType::DAG_TYPE_MAX]; // just for showing // atomic value
src/data_plane/api/data_plane/scheduler/ob_dag_scheduler.h	1320	ObDagScheduler::running_dag_cnts_	field int64_t; 5 atomic accesses (ATOMIC_AAF 1, ATOMIC_DEC 1, ATOMIC_INC 1, ATOMIC_LOAD 1, ATOMIC_SET 1); through macros DEFINE_ATOMIC_ARRAY_FUNC	int64_t running_dag_cnts_[ObDagType::DAG_TYPE_MAX]; // atomic value
